# theta1,theta2 in radians, 100 Hz
-0.7435265812,1.5576734175
-0.7435265812,1.5576683381
-0.7435265812,1.5576632586
-0.7435265812,1.5576581792
-0.7435265812,1.5576530997
-0.7435265812,1.5576480203
-0.7435265812,1.5576429408
-0.7435265812,1.5576378614
-0.7435265812,1.5576327819
-0.7435265812,1.5576277025
-0.7435265812,1.5576226230
-0.7435265812,1.5576175435
-0.7435265812,1.5576124641
-0.7435265812,1.5576073846
-0.7435265812,1.5576023052
-0.7435265812,1.5575972257
-0.7435265812,1.5575921463
-0.7435265812,1.5575870668
-0.7435265812,1.5575819874
-0.7435265812,1.5575769079
-0.7435265812,1.5575718285
-0.7435265812,1.5575667490
-0.7435265812,1.5575616696
-0.7435265812,1.5575565901
-0.7435265812,1.5575515107
-0.7435265812,1.5575464312
-0.7435265812,1.5575413518
-0.7435265812,1.5575362723
-0.7435265812,1.5575311929
-0.7435265812,1.5575261134
-0.7435265812,1.5575210340
-0.7435265812,1.5575159545
-0.7435265812,1.5575108751
-0.7435265812,1.5575057956
-0.7435265812,1.5575007161
-0.7435265812,1.5574956367
-0.7435265812,1.5574905572
-0.7435265812,1.5574854778
-0.7435265812,1.5574803983
-0.7435265812,1.5574753189
-0.7435265812,1.5574702394
-0.7435265812,1.5574651600
-0.7435265812,1.5574600805
-0.7435265812,1.5574550011
-0.7435265812,1.5574499216
-0.7435265812,1.5574448422
-0.7435265812,1.5574397627
-0.7435265812,1.5574346833
-0.7435265812,1.5574296038
-0.7435265812,1.5574245244
-0.7435265812,1.5574194449
-0.7435265812,1.5574143655
-0.7435265812,1.5574092860
-0.7435265812,1.5574042066
-0.7435265812,1.5573991271
-0.7435265812,1.5573940477
-0.7435265812,1.5573889682
-0.7435265812,1.5573838888
-0.7435265812,1.5573788093
-0.7435265812,1.5573737298
-0.7435265812,1.5573686504
-0.7435265812,1.5573635709
-0.7435265812,1.5573584915
-0.7435265812,1.5573534120
-0.7435265812,1.5573483326
-0.7435265812,1.5573432531
-0.7435265812,1.5573381737
-0.7435265812,1.5573330942
-0.7435265812,1.5573280148
-0.7435265812,1.5573229353
-0.7435265812,1.5573178559
-0.7435265812,1.5573127764
-0.7435265812,1.5573076970
-0.7435265812,1.5573026175
-0.7435265812,1.5572975381
-0.7435265812,1.5572924586
-0.7435265812,1.5572873792
-0.7435265812,1.5572822997
-0.7435265812,1.5572772203
-0.7435265812,1.5572721408
-0.7435265812,1.5572670614
-0.7435265812,1.5572619819
-0.7435265812,1.5572569025
-0.7435265812,1.5572518230
-0.7435265812,1.5572467435
-0.7435265812,1.5572416641
-0.7435265812,1.5572365846
-0.7435265812,1.5572315052
-0.7435265812,1.5572264257
-0.7435265812,1.5572213463
-0.7435265812,1.5572162668
-0.7435265812,1.5572111874
-0.7435265812,1.5572061079
-0.7435265812,1.5572010285
-0.7435265812,1.5571959490
-0.7435265812,1.5571908696
-0.7435265812,1.5571857901
-0.7435265812,1.5571807107
-0.7435265812,1.5571756312
-0.7435265812,1.5571705518
-0.7435265812,1.5571654723
-0.7435265812,1.5571603929
-0.7435265812,1.5571553134
-0.7435265812,1.5571502340
-0.7435265812,1.5571451545
-0.7435265812,1.5571400751
-0.7435265812,1.5571349956
-0.7435265812,1.5571299161
-0.7435265812,1.5571248367
-0.7435265812,1.5571197572
-0.7435265812,1.5571146778
